Date,Country,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Revenue,Total Cost,ROI,ARPU,Average eCPI,af_login (Unique users),af_login (Event counter),af_login (Sales in USD),le_usercharactercreate (Unique users),le_usercharactercreate (Event counter),le_usercharactercreate (Sales in USD),le_usercharacterlevelup (Unique users),le_usercharacterlevelup (Event counter),le_usercharacterlevelup (Sales in USD)
2016-04-03,TW,None,0402_jason_test01,None,N/A,N/A,N/A,1,N/A,18,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,10,0.0,0,0,0.0,1,7,0.0
2016-04-03,TW,None,Organic,None,N/A,N/A,N/A,1,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,16,0.0,0,3,0.0,0,30,0.0
2016-04-04,HK,None,AppsFlyer_Test,None,N/A,6,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-04,TW,None,Organic,None,N/A,N/A,N/A,0,N/A,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,1,0.0,0,0,0.0,0,0,0.0
2016-04-05,CN,None,new_0405_jo_note4_test1,None,N/A,2,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-05,HK,None,Organic,None,N/A,N/A,N/A,0,N/A,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,7,0.0,0,8,0.0,0,6,0.0
2016-04-05,TW,None,JO_0405,TEST1,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-05,TW,None,Organic,None,N/A,N/A,N/A,0,N/A,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,8,0.0,0,2,0.0,0,0,0.0
2016-04-05,TW,None,new_0405_jo_note4_test1,None,N/A,1,N/A,1,1.0000,4,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,2,0.0,0,0,0.0,0,0,0.0
2016-04-05,TW,None,test_0405_jo,test2,N/A,2,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-05,TW,None,test_0405_jo_test03,None,N/A,2,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-06,CN,None,0401_jo_test01,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-06,CN,None,0401_jo_test02,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-06,CN,None,0401_jo_test03,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-06,CN,None,0401_lucy_test02android_id=afc190c0fca92785,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-06,CN,None,Organic,None,N/A,N/A,N/A,0,N/A,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,12,0.0,0,1,0.0,0,5,0.0
2016-04-06,JP,None,JO_0405,TEST1,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-06,JP,None,new_0405_jo_note4_test1,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-06,JP,None,test_0405_jo,test2,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-06,JP,None,test_0405_jo_test03,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-06,TW,None,0402_jason_test01,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-06,TW,None,0402_jason_test02,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-06,TW,None,0406_jason_test01,None,N/A,1,N/A,1,1.0000,18,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,6,0.0,0,0,0.0,1,6,0.0
2016-04-06,TW,None,0406_kate_test01,None,N/A,1,N/A,1,1.0000,10,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,9,0.0,0,0,0.0,1,2,0.0
2016-04-06,TW,None,0406_yun_test01,None,N/A,1,N/A,1,1.0000,26,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,6,0.0,0,0,0.0,0,0,0.0
2016-04-06,TW,None,Organic,None,N/A,N/A,N/A,3,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,20,0.0,0,3,0.0,0,26,0.0
2016-04-07,CN,None,new_0405_jo_note4_test1,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-07,TW,None,0402_jason_test01,None,N/A,N/A,N/A,1,N/A,18,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,5,0.0,1,1,0.0,1,14,0.0
2016-04-07,TW,None,0407_gashwebtest,None,N/A,7,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-07,TW,None,0407_jason_test02,None,N/A,1,N/A,1,1.0000,18,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,7,0.0,0,0,0.0,1,1,0.0
2016-04-07,TW,None,0407_jessy_test01,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-07,TW,None,0407_jessy_test02,None,N/A,1,N/A,1,1.0000,49,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,17,0.0,1,2,0.0,1,2,0.0
2016-04-07,TW,None,0407_jo_test01,None,N/A,1,N/A,1,1.0000,9,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,3,0.0,1,1,0.0,1,10,0.0
2016-04-07,TW,None,0407_jo_test02,None,N/A,1,N/A,1,1.0000,4,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,3,0.0,0,0,0.0,0,0,0.0
2016-04-07,TW,None,0407_kate_test01,None,N/A,1,N/A,1,1.0000,10,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,10,0.0,1,1,0.0,1,26,0.0
2016-04-07,TW,None,0407_kate_test02,None,N/A,1,N/A,1,1.0000,6,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,6,0.0,0,0,0.0,1,5,0.0
2016-04-07,TW,None,0407_lucy_test01,None,N/A,1,N/A,1,1.0000,4,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,1,0.0,1,1,0.0,1,3,0.0
2016-04-07,TW,None,0407_lucy_test02,None,N/A,1,N/A,1,1.0000,9,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,7,0.0,1,1,0.0,0,0,0.0
2016-04-07,TW,None,0407_yun_test01,None,N/A,1,N/A,1,1.0000,25,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,11,0.0,1,1,0.0,1,14,0.0
2016-04-07,TW,None,0407_yun_test02,None,N/A,1,N/A,1,1.0000,42,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,12,0.0,0,0,0.0,1,2,0.0
2016-04-07,TW,None,Organic,None,N/A,N/A,N/A,3,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,27,0.0,0,6,0.0,0,27,0.0
2016-04-07,TW,None,pid_name_exceeded_max_length,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-08,CN,None,Organic,None,N/A,N/A,N/A,1,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-08,HK,None,Organic,None,N/A,N/A,N/A,1,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,1,0.0,0,1,0.0,0,9,0.0
2016-04-08,JP,None,0407_jo_test01,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-08,MY,None,Organic,None,N/A,N/A,N/A,3,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,17,0.0,0,5,0.0,0,49,0.0
2016-04-08,SG,None,Organic,None,N/A,N/A,N/A,2,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,4,0.0,0,2,0.0,0,21,0.0
2016-04-08,TW,None,0408gashwebsite,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
2016-04-08,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-TW_Android_LAL(All)_0408_AD_1,N/A,N/A,N/A,90,N/A,868,40,0.4444,0.0000,N/A,N/A,0.0000,N/A,86,342,0.0,87,88,0.0,83,789,0.0
2016-04-08,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-TW_Android_LAL(All)_0408_SET_1_1,N/A,N/A,N/A,2,N/A,28,2,1.0000,0.0000,N/A,N/A,0.0000,N/A,2,16,0.0,2,2,0.0,2,33,0.0
2016-04-08,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-TW_Android_LAL(All)_0408_SET_2_0,N/A,N/A,N/A,1,N/A,1,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,1,1,0.0,1,1,0.0,1,4,0.0
2016-04-08,TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_(全)_興趣手遊_AD_1,N/A,N/A,N/A,5,N/A,11,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,5,5,0.0,5,5,0.0,3,16,0.0
2016-04-08,TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_(全)_興趣手遊_AD_2,N/A,N/A,N/A,11,N/A,54,5,0.4545,0.0000,N/A,N/A,0.0000,N/A,10,28,0.0,10,10,0.0,10,87,0.0
2016-04-08,TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_(全)_興趣手遊_AD_3,N/A,N/A,N/A,1,N/A,4,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,1,0.0,0,0,0.0,0,0,0.0
2016-04-08,TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_素材A001_18歲-45歲(男)_興趣手遊,N/A,N/A,N/A,18,N/A,110,9,0.5000,0.0000,N/A,N/A,0.0000,N/A,17,38,0.0,17,17,0.0,17,124,0.0
2016-04-08,TW,None,Organic,None,N/A,N/A,N/A,1018,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,6168,0.0,0,1054,0.0,0,12809,0.0
2016-04-08,US,None,Organic,None,N/A,N/A,N/A,0,N/A,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,1,0.0,0,1,0.0,0,0,0.0
2016-04-09,CN,None,Organic,None,N/A,N/A,N/A,1,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,13,0.0,0,1,0.0,0,21,0.0
2016-04-09,HK,None,Organic,None,N/A,N/A,N/A,2,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,7,0.0,0,1,0.0,0,14,0.0
2016-04-09,JP,None,Organic,None,N/A,N/A,N/A,1,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,2,0.0,0,1,0.0,0,4,0.0
2016-04-09,MY,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材A001_18歲-45歲(全)_LL(1-1),N/A,N/A,N/A,1,N/A,50,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,13,0.0,1,1,0.0,1,21,0.0
2016-04-09,MY,None,Organic,None,N/A,N/A,N/A,1,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,2,0.0,0,0,0.0,0,3,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_MUA001_18歲-45歲(全)_LL(1-5),N/A,N/A,N/A,5,N/A,63,4,0.8000,0.0000,N/A,N/A,0.0000,N/A,5,36,0.0,5,5,0.0,5,61,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_MUA001_18歲-45歲(全)_名單(2-5),N/A,N/A,N/A,8,N/A,37,5,0.6250,0.0000,N/A,N/A,0.0000,N/A,8,14,0.0,8,8,0.0,8,57,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材A001_13歲-45歲(全)_名單(2-1),N/A,N/A,N/A,1,N/A,3,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,2,0.0,1,1,0.0,1,5,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材A001_18歲-45歲(全)_LL(1-1),N/A,N/A,N/A,39,N/A,217,18,0.4615,0.0000,N/A,N/A,0.0000,N/A,36,92,0.0,37,37,0.0,34,282,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材A001_18歲-45歲(全)_名單(2-1),N/A,N/A,N/A,23,N/A,170,13,0.5652,0.0000,N/A,N/A,0.0000,N/A,23,89,0.0,23,23,0.0,22,231,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材A002_18歲-45歲(全)_名單(2-2),N/A,N/A,N/A,1,N/A,4,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,1,0.0,1,1,0.0,1,3,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材B001_18歲-45歲(全)_LL(1-3),N/A,N/A,N/A,4,N/A,15,1,0.2500,0.0000,N/A,N/A,0.0000,N/A,4,5,0.0,4,4,0.0,2,17,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材B001_18歲-45歲(全)_名單(2-3),N/A,N/A,N/A,3,N/A,10,1,0.3333,0.0000,N/A,N/A,0.0000,N/A,3,3,0.0,3,3,0.0,3,15,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材B002_18歲-45歲(全)_LL(1-4),N/A,N/A,N/A,4,N/A,50,3,0.7500,0.0000,N/A,N/A,0.0000,N/A,4,13,0.0,4,7,0.0,4,63,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-TW_Android_LAL(All)_0408_AD_1,N/A,N/A,N/A,20,N/A,150,13,0.6500,0.0000,N/A,N/A,0.0000,N/A,18,51,0.0,18,18,0.0,17,147,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-TW_Android_LAL(All)_0408_AD_3,N/A,N/A,N/A,2,N/A,7,1,0.5000,0.0000,N/A,N/A,0.0000,N/A,2,3,0.0,2,2,0.0,2,8,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-TW_Android_LAL(All)_0408_SET_2_0,N/A,N/A,N/A,3,N/A,61,3,1.0000,0.0000,N/A,N/A,0.0000,N/A,3,31,0.0,3,3,0.0,3,53,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408_AudienceNetwork-Android(TW)_MUA001_18歲-45歲(全)_名單(2-5)_AudienceNetwork,N/A,N/A,N/A,2,N/A,11,2,1.0000,0.0000,N/A,N/A,0.0000,N/A,2,5,0.0,2,2,0.0,2,31,0.0
